id,brand,model,vehicle_type,energy_type,price_min,price_max,cltc_range,battery_kwh,fast_charge_minutes,seats,drive_type,adas_level,smart_cockpit,wheelbase,trunk_volume,safety_score,monthly_sales,suitable_scenarios,highlights,weaknesses,source_type,source_url,data_quality_score,estimated_fields,raw_model_year
1,Audi,A6 e-tron Base,轿车,纯电,533000,714000,700,94.9,18,5,rwd,L2+,公开规格未覆盖，按品牌与年份估算,3030,470,4.8,499,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2024年，WLTP续航700km，电池94.9kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2024
2,Audi,A6 e-tron Base,轿车,纯电,533000,714000,700,94.9,18,5,rwd,L2+,公开规格未覆盖，按品牌与年份估算,3030,470,4.8,498,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2024年，WLTP续航700km，电池94.9kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2024
3,Audi,A6 e-tron Base,轿车,纯电,538000,721000,700,94.9,18,5,rwd,L2+,公开规格未覆盖，按品牌与年份估算,3030,470,4.8,497,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2025年，WLTP续航700km，电池94.9kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2025
4,Audi,A6 e-tron Base,轿车,纯电,538000,721000,700,94.9,18,5,rwd,L2+,公开规格未覆盖，按品牌与年份估算,3030,470,4.8,496,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2025年，WLTP续航700km，电池94.9kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2025
5,Audi,e-tron GT quattro,轿车,纯电,498000,667000,488,85.0,18,5,awd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.7,495,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航488km，电池85.0kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
6,Audi,e-tron GT RS,轿车,纯电,584000,784000,472,85.0,18,5,awd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.7,494,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航472km，电池85.0kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
7,Audi,e-tron GT quattro,轿车,纯电,503000,674000,488,85.0,18,5,awd,L2+,公开规格未覆盖，按品牌与年份估算,2940,470,4.8,493,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2024年，WLTP续航488km，电池85.0kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2024
8,Audi,e-tron GT RS,轿车,纯电,590000,791000,472,85.0,18,5,awd,L2+,公开规格未覆盖，按品牌与年份估算,2940,470,4.8,492,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2024年，WLTP续航472km，电池85.0kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2024
9,Audi,e-tron GT quattro,轿车,纯电,508000,681000,488,85.0,18,5,awd,L2+,公开规格未覆盖，按品牌与年份估算,2940,470,4.8,491,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2025年，WLTP续航488km，电池85.0kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2025
10,Audi,e-tron GT RS,轿车,纯电,595000,798000,472,85.0,18,5,awd,L2+,公开规格未覆盖，按品牌与年份估算,2940,470,4.8,490,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2025年，WLTP续航472km，电池85.0kWh，快充270kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2025
11,Audi,Q4 e-tron 40,轿车,纯电,379000,508000,341,48.0,32,5,rwd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.6,489,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航341km，电池48.0kWh，快充125kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
12,Audi,Q4 e-tron 50,轿车,纯电,439000,588000,520,73.0,32,5,rwd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.6,488,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航520km，电池73.0kWh，快充125kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
13,Audi,Q4 e-tron quattro,轿车,纯电,448000,601000,488,73.0,32,5,awd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.6,487,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航488km，电池73.0kWh，快充125kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
14,Audi,Q4 e-tron 40,轿车,纯电,379000,508000,349,48.0,32,5,rwd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.6,486,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航349km，电池48.0kWh，快充125kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
15,Audi,Q4 e-tron 50,轿车,纯电,440000,590000,534,73.0,32,5,rwd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.6,485,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航534km，电池73.0kWh，快充125kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
16,Audi,Q4 e-tron quattro,轿车,纯电,450000,603000,502,73.0,32,5,awd,L2,公开规格未覆盖，按品牌与年份估算,2940,470,4.6,484,真实公开数据候选;海外新能源车型;续航补能评估,真实规格：2023年，WLTP续航502km，电池73.0kWh，快充125kW,价格、座椅、车身和智能化字段为规则补齐，正式商用前需接入更权威价格源核验,real_world_enriched,https://www.audi.com,100.0,price_min|price_max|seats|wheelbase|trunk_volume|safety_score|adas_level,2023
